B	245 	68.16
B	327 	72.06
B	324 	68.36
B	329 	75.81
B	320 	31.57
B	247 	44.49
B	252 	52.59
B	335 	33.49
B	332 	76.81
B	333 	67.83
B	290 	81.00
B	348 	21.34
B	317 	78.01
B	355 	75.56
B	2 	52.26
B	309 	18.97
B	343 	9.82
B	291 	67.66
B	313 	13.40
B	318 	66.38
B	2 	42.26
B	309 	49.66
B	342 	65.63
B	318 	58.21
B	239 	29.27
B	251 	93.60
B	48 	64.46
B	310 	50.16
B	311 	68.51
B	370 	46.56
B	236 	3.70
B	165 	47.46
B	238 	77.08
B	164 	77.48
B	162 	57.54
B	53 	15.27
B	299 	74.31
B	264 	9.07
B	28 	85.75
B	35 	60.93
B	122 	37.84
B	307 	7.05
B	281 	59.06
B	429 	74.81
B	297 	77.51
B	297 	65.46
B	280 	47.11
B	279 	68.48
B	375 	11.45
B	424 	22.69
B	421 	74.68
B	232 	36.29
B	262 	83.48
B	233 	50.91
B	199 	56.69
B	24 	78.03
B	60 	70.66
B	121 	56.39
B	378 	66.18
B	203 	41.21
B	193 	35.57
B	196 	48.41
B	166 	59.79
B	21 	64.58
B	195 	29.09
B	7 	72.88
B	58 	29.49
B	379 	49.94
B	210 	53.99
B	170 	39.67
B	229 	88.18
B	230 	12.37
B	137 	38.57
B	192 	41.11
B	136 	32.49
B	86 	55.84
B	213 	57.11
B	380 	13.32
B	214 	10.47
B	215 	34.37
B	381 	44.69
B	382 	36.54
B	226 	55.51
B	225 	88.85
B	189 	27.17
B	191 	36.97
B	18 	51.89
B	149 	59.91
B	150 	49.09
B	151 	8.65
B	174 	62.98
B	212 	77.73
B	385 	58.36
B	412 	62.16
B	141 	10.62
B	15 	65.71
B	147 	70.68
B	14 	6.92
B	380 	66.43
B	384 	1.85
B	386 	63.88
B	186 	58.86
B	72 	64.06
B	77 	49.81
B	77 	44.89
B	78 	54.04
B	183 	59.71
B	75 	46.74
B	107 	51.04
B	392 	67.71
B	180 	9.57
B	403 	33.04
B	398 	3.15
B	322 	75.36
B	350 	48.39
B	285 	69.86
B	253 	26.97
B	340 	47.46
B	285 	36.09
B	368 	66.76
B	241 	46.04
B	47 	26.42
B	48 	35.09
B	237 	30.84
B	238 	76.61
B	241 	72.68
B	163 	55.21
B	124 	46.84
B	282 	52.46
B	372 	19.10
B	310 	35.12
B	422 	52.66
B	199 	60.03
B	235 	25.42
B	165 	25.12
B	156 	44.16
B	373 	34.42
B	423 	38.74
B	422 	9.37
B	135 	52.16
B	156 	45.04
B	54 	57.49
B	307 	39.07
B	420 	57.46
B	418 	57.14
B	23 	49.51
B	117 	61.76
B	18 	13.30
B	306 	72.98
B	228 	43.19
B	413 	40.66
B	20 	53.59
B	9 	40.59
B	22 	40.99
B	191 	10.60
B	152 	54.61
B	85 	11.50
B	116 	53.06
B	207 	48.11
B	382 	22.92
B	168 	47.39
B	16 	88.75
B	383 	3.92
B	140 	30.44
B	01 	62.76
B	145 	66.46
B	145 	70.33
B	112 	85.33
B	384 	11.12
B	384 	1.45
B	176 	55.34
B	409 	59.26
B	408 	26.94
B	106 	49.64
B	184 	26.24
B	103 	30.17
B	330 	65.86
B	315 	68.11
B	252 	20.39
B	46 	46.46
B	309 	32.49
B	290 	12.60
B	2 	28.47
B	1 	63.28
B	337 	2.32
B	426 	24.19
B	263 	27.97
B	51 	39.67
B	62 	65.88
B	309 	14.07
B	424 	50.71
B	266 	55.74
B	165 	52.24
B	62 	22.27
B	298 	22.14
B	302 	3.90
B	201 	62.93
B	200 	71.71
B	25 	57.64
B	6 	37.49
B	276 	7.87
B	231 	21.89
B	167 	21.02
B	194 	23.04
B	154 	53.76
B	119 	21.59
B	122 	34.79
B	214 	21.57
B	379 	19.12
B	417 	59.04
B	208 	27.27
B	410 	25.44
B	14 	24.07
B	390 	25.19
B	185 	26.47
B	105 	34.84
B	104 	59.51
B	331 	55.84
B	324 	44.66
B	334 	31.24
B	336 	49.34
B	242 	63.63
B	44 	54.59
B	364 	3.15
B	370 	5.72
B	240 	57.14
B	49 	47.34
B	234 	34.77
B	157 	17.80
B	158 	26.29
B	154 	26.34
B	413 	30.94
B	149 	66.18
B	146 	15.17
B	11 	11.77
B	390 	45.39
B	392 	44.29
B	402 	3.25
B	292 	12.45
B	257 	30.44
B	251 	11.27
B	426 	15.80
B	133 	18.47
B	31 	0.32
B	33 	6.00
B	429 	25.67
B	166 	4.87
B	26 	31.04
B	419 	30.47
B	168 	38.19
B	153 	29.47
B	148 	2.40
B	79 	2.27
B	386 	13.32
B	409 	21.27
B	108 	33.09
B	293 	18.30
B	314 	23.59
B	1 	16.45
B	162 	3.62
B	273 	6.80
B	27 	17.07
B	278 	1.40
B	211 	13.87
B	75 	29.07
B	183 	0.75
B	43 	44.71
B	59 	6.70
B	28 	37.59
B	57 	0.30
B	159 	32.79
B	120 	38.24
B	195 	20.34
B	8 	9.77
B	205 	34.04
B	46 	22.62
B	131 	26.99
B	234 	0.42
B	162 	7.75
B	295 	2.27
B	165 	0.52
B	134 	41.49
B	230 	11.52
B	155 	39.84
B	89 	6.95
B	76 	4.27
B	404 	2.80
B	353 	14.55
B	332 	7.55
B	370 	9.80
B	77 	25.67
B	134 	28.74
B	262 	2.62
B	83 	18.92
B	73 	0.02
B	328 	38.82
B	291 	9.62
B	45 	28.37
B	289 	15.37
B	365 	3.27
B	425 	9.10
B	359 	29.64
B	209 	22.72
B	139 	6.37
B	204 	0.40
B	59 	48.44
B	377 	34.87
B	154 	15.87
B	332 	6.82
B	358 	0.15
B	97 	6.37
B	423 	13.02
B	232 	28.32
B	34 	10.17
B	202 	3.45
B	135 	0.17
B	190 	0.20
B	113 	16.97
B	74 	17.27
B	326 	7.35
B	124 	3.05
B	29 	0.42
B	213 	14.47
B	72 	8.47
B	19 	7.85
B	109 	9.80
B	50 	21.72
B	156 	0.15
B	411 	13.95
B	278 	4.07
B	195 	0.55
B	89 	0.50
B	123 	11.50
B	183 	7.10
B	188 	9.30
B	252 	0.62
B	307 	21.84
B	168 	0.70
B	319 	7.30
B	414 	12.27
B	50 	1.90
B	350 	36.39
B	84 	1.55
B	131 	4.60
B	191 	0.12
B	184 	1.07
B	11 	0.42
B	166 	1.87
B	423 	0.42
B	227 	4.20
B	354 	4.35
B	201 	1.30
B	256 	15.00
B	204 	0.02
B	17 	3.90
B	93 	0.27
B	397 	1.90
B	126 	0.67
B	124 	3.30
B	196 	0.20
B	318 	1.35
B	297 	0.02
B	127 	0.35
B	100 	2.42
B	265 	0.55
B	37 	4.05
B	43 	4.92
B	274 	1.57
B	190 	0.02
B	292 	2.55
B	351 	0.20
B	46 	0.30
B	8 	0.20
B	262 	17.62
B	387 	1.97
B	62 	3.00
B	399 	2.05
B	375 	12.60
B	49 	0.52
B	224 	0.22
B	127 	0.95
B	100 	3.82
B	329 	0.52
B	402 	2.10
B	365 	0.72
B	107 	5.20
B	318 	0.82
B	130 	0.05
B	59 	0.22
B	391 	0.60
B	122 	0.27
B	392 	0.22
B	190 	2.47
B	125 	0.42
B	175 	42.69
B	400 	9.55
B	415 	0.02
B	174 	9.02
B	294 	0.65
B	274 	0.40
B	127 	1.05
B	201 	0.70
B	357 	0.07
B	190 	3.62
B	48 	6.40
B	416 	1.77
B	91 	0.05
B	37 	1.82
B	427 	0.02
B	137 	1.10
B	359 	0.82
